time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-04T04:51:11.719Z,34.1091,46.4188,10,4.4,mb,91,114,1.702,0.72,us,us7000k67c,2023-07-01T01:10:58.229Z,"",earthquake,7.99,1.891,0.066,67,reviewed,us,us
2023-06-03T15:07:28.924Z,39.4591,37.0948,10,4.1,mb,40,39,0.985,1.03,us,us7000k63z,2023-06-07T13:30:01.040Z,"5 km ENE of Ulaş, Turkey",earthquake,2.61,1.935,0.262,4,reviewed,us,us
2023-06-02T13:23:42.201Z,34.9635,23.5886,54.483,4.1,mb,48,155,1.115,0.78,us,us7000k5s7,2023-06-11T06:28:08.040Z,"30 km SSW of Palaióchora, Greece",earthquake,7.03,8.736,0.101,28,reviewed,us,us
2023-05-31T15:22:18.688Z,31.6961,50.9183,10,4.3,mb,65,62,8.18,0.69,us,us7000k59l,2023-07-10T04:35:33.040Z,"45 km SW of Borūjen, Iran",earthquake,6.67,1.689,0.085,39,reviewed,us,us
2023-05-27T15:49:30.171Z,38.2762,21.7675,10,4.3,mb,28,125,1.103,0.89,us,us7000k4ha,2023-07-07T13:54:13.040Z,"2 km SW of Río, Greece",earthquake,5.43,1.935,0.218,6,reviewed,us,us
2023-05-25T19:02:44.791Z,44.2405,38.9686,10,4.1,mb,77,28,2.693,0.76,us,us7000k42a,2023-05-31T21:07:14.040Z,"7 km ENE of Ol’ginka, Russia",earthquake,5.74,1.853,0.127,19,reviewed,us,us
2023-05-25T15:02:06.431Z,38.0916,38.5909,10,4,mb,33,66,0.675,1.05,us,us7000k3x7,2023-06-14T18:31:42.040Z,"6 km NNW of Sincik, Turkey",earthquake,2.66,1.952,0.13,17,reviewed,us,us
2023-05-25T07:21:31.352Z,35.6694,35.6427,10,4.1,mb,29,76,1.961,0.67,us,us7000k3p9,2023-06-18T06:53:59.040Z,"Near the coast of Syria",earthquake,5.67,1.943,0.213,7,reviewed,us,us
2023-05-23T03:17:06.505Z,36.4414,22.1083,51.074,4,mb,48,153,0.75,0.53,us,us7000k35f,2023-07-05T22:30:03.040Z,"41 km SSE of Koróni, Greece",earthquake,6.9,8.306,0.183,8,reviewed,us,us
2023-05-23T01:12:47.168Z,37.9429,36.3225,10,4,mb,40,39,0.363,0.58,us,us7000k34v,2023-06-22T01:20:36.040Z,"17 km WSW of Göksun, Turkey",earthquake,1.62,1.878,0.173,9,reviewed,us,us
2023-05-22T17:36:59.360Z,37.5349,47.6055,10,4.5,mb,75,81,2.199,1.21,us,us7000k30u,2023-06-23T13:44:42.040Z,"northwestern Iran",earthquake,3.4,1.875,0.074,54,reviewed,us,us
2023-05-22T16:42:58.241Z,37.8904,36.2608,10,4.3,mwr,48,72,0.317,0.56,us,us6000kdx8,2023-05-29T19:28:17.040Z,"18 km SE of Saimbeyli, Turkey",earthquake,2.28,1.87,0.069,20,reviewed,us,us
2023-05-22T16:06:58.948Z,37.9346,36.2708,5.385,4.4,mwr,108,52,0.359,0.77,us,us6000kdwz,2023-05-29T19:00:48.040Z,"16 km ESE of Saimbeyli, Turkey",earthquake,3.23,4.156,0.052,36,reviewed,us,us
